tasks,trial,algorithm,waiting,turnaround,throughput,runtime
50,29,RoundRobin,171.2,177.18,0.167,7.3e-05
50,29,Priority,123.9,129.88,0.167,4.4e-05
50,29,GWO,128.3,134.28,0.167,0.020081
100,0,FIFO,201.3,206.65,0.187,1.8e-05
100,0,RoundRobin,272.64,277.99,0.187,0.00013
100,0,Priority,213.46,218.81,0.187,9e-05
100,0,GWO,201.3,206.65,0.187,0.044735
100,1,FIFO,211.23,216.47,0.191,1.9e-05
100,1,RoundRobin,263.12,268.36,0.191,0.000133
100,1,Priority,205.12,210.36,0.191,9.3e-05
100,1,GWO,211.23,216.47,0.191,0.041989
100,2,FIFO,200.64,205.94,0.189,2e-05
100,2,RoundRobin,259.61,264.91,0.189,0.000131
100,2,Priority,222.6,227.9,0.189,9.3e-05
100,2,GWO,200.64,205.94,0.189,0.040503
100,3,FIFO,201.42,206.54,0.195,2e-05
100,3,RoundRobin,246.87,251.99,0.195,0.000145
100,3,Priority,190.37,195.49,0.195,0.000103
100,3,GWO,201.42,206.54,0.195,0.04179
100,4,FIFO,217.86,223.43,0.18,1.9e-05
100,4,RoundRobin,293.98,299.55,0.18,0.000183
100,4,Priority,228.8,234.37,0.18,0.000219
100,4,GWO,217.86,223.43,0.18,0.040342
100,5,FIFO,242.14,248.09,0.168,2e-05
100,5,RoundRobin,327.13,333.08,0.168,0.000139
100,5,Priority,235.48,241.43,0.168,9.1e-05
100,5,GWO,242.14,248.09,0.168,0.040405
100,6,FIFO,210.54,215.72,0.193,2e-05
100,6,RoundRobin,276.87,282.05,0.193,0.00013
100,6,Priority,195.06,200.24,0.193,9.7e-05
100,6,GWO,210.54,215.72,0.193,0.041514
100,7,FIFO,240.29,245.92,0.178,1.9e-05
100,7,RoundRobin,315.24,320.87,0.178,0.000135
100,7,Priority,237.08,242.71,0.178,9e-05
100,7,GWO,240.29,245.92,0.178,0.041598
100,8,FIFO,231.12,236.51,0.186,1.9e-05
100,8,RoundRobin,287.04,292.43,0.186,0.000131
100,8,Priority,216.37,221.76,0.186,9e-05
100,8,GWO,231.12,236.51,0.186,0.04052
100,9,FIFO,264.87,271.19,0.158,2e-05
100,9,RoundRobin,372.42,378.74,0.158,0.000144
100,9,Priority,267.9,274.22,0.158,9e-05
100,9,GWO,264.87,271.19,0.158,0.042484
100,10,FIFO,191.03,195.96,0.203,2e-05
100,10,RoundRobin,250.17,255.1,0.203,0.000127
100,10,Priority,191.53,196.46,0.203,9.2e-05
100,10,GWO,191.03,195.96,0.203,0.040273
100,11,FIFO,223.2,228.92,0.175,2e-05
100,11,RoundRobin,298.43,304.15,0.175,0.000136
100,11,Priority,226.93,232.65,0.175,0.000136
100,11,GWO,223.2,228.92,0.175,0.040219
100,12,FIFO,245.27,251.06,0.173,2e-05
100,12,RoundRobin,338.2,343.99,0.173,0.000136
100,12,Priority,239.02,244.81,0.173,9.2e-05
100,12,GWO,245.27,251.06,0.173,0.0402
100,13,FIFO,226.03,231.83,0.172,2e-05
100,13,RoundRobin,320.7,326.5,0.172,0.000139
100,13,Priority,225.75,231.55,0.172,9.1e-05
100,13,GWO,226.03,231.83,0.172,0.040139
100,14,FIFO,240.18,245.93,0.174,2.1e-05
100,14,RoundRobin,307.52,313.27,0.174,0.000138
100,14,Priority,242.16,247.91,0.174,9e-05
100,14,GWO,240.18,245.93,0.174,0.04026
100,15,FIFO,244.99,250.5,0.181,2.1e-05
100,15,RoundRobin,300.18,305.69,0.181,0.000134
100,15,Priority,220.85,226.36,0.181,8.8e-05
100,15,GWO,244.99,250.5,0.181,0.039894
100,16,FIFO,225.89,231.41,0.181,1.9e-05
100,16,RoundRobin,284.84,290.36,0.181,0.000137
100,16,Priority,223.19,228.71,0.181,0.000109
100,16,GWO,225.89,231.41,0.181,0.039768
100,17,FIFO,199.76,204.8,0.198,2e-05
100,17,RoundRobin,251.58,256.62,0.198,0.000155
100,17,Priority,207.82,212.86,0.198,0.000102
100,17,GWO,199.76,204.8,0.198,0.040276
